model_name,variant_label,perturbation_id,horizon_s,occupied_iou,semantic_miou,false_free_rate,false_occupied_rate,pred_gt_occupied_ratio,small_object_false_free,new_visible_recall,front_sector_false_free,dynamic_false_free,static_false_free,active_voxel_count,wrong_class_activation,A10_front_h6_recovery_ratio,reliability_front_sector,reliability_small_object,reliability_new_visible,risk_error_correlation,clean_occupied_iou_delta,clean_semantic_miou_delta,clean_false_positive_delta,active_voxel_count_delta,pred_gt_density_delta,wrong_class_activation_delta,C4_false_positive_delta,front_sector_false_free_rate,small_object_false_free_rate,dynamic_object_false_free_rate,future_h4_h6_false_free_rate,A10_front_h6_recovery_rate,false_positive_rate,density_drift,wrong_class_rate,clean_A0_metric_drift,repaired_camera_count,memory_age_frame,feature_distance_current_memory,repair_triggered_ratio,feature_norm_drift,sample_index,uses_future_info,uses_current_clean_same_frame,uses_gt_repair,case_count,blend_alpha
epoch_56_original,R0_degraded_native,A0_clean,0,0.275753537368205,0.1270552717035325,0.4675985474260472,0.05214100550931259,1.4652679342026045,0.49362315070915336,0.0,0.24953654254653967,0.31483365502977445,0.4771164063440502,49684.5,0.11977287036397084,0.0,0.7504634574534602,0.5063768492908467,0.0,0.24953654254653967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24953654254653967,0.49362315070915336,0.31483365502977445,0.0,0.0,0.05214100550931259,0.0,0.11977287036397084,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R0_degraded_native,A0_clean,2,0.2743139286989895,0.11511698407249313,0.453002378899919,0.05605399052201868,1.5416720698443933,0.4785098881342722,0.4189402777576386,0.28593322809445254,0.3431151547041837,0.4599409523729648,52656.5,0.13506745309824814,0.0,0.7140667719055476,0.5214901118657278,0.4189402777576386,0.28593322809445254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28593322809445254,0.4785098881342722,0.3431151547041837,0.0,0.0,0.05605399052201868,0.0,0.13506745309824814,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R0_degraded_native,A0_clean,4,0.26864338711195035,0.10467323325242961,0.46743844970231524,0.055600363755964596,1.519371043489982,0.5107022156472769,0.4123355869404417,0.2928198849836877,0.38665523561476256,0.4723818835124722,51907.15,0.1370867892709567,0.0,0.7071801150163124,0.489297784352723,0.4123355869404417,0.2928198849836877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2928198849836877,0.5107022156472769,0.38665523561476256,0.46743844970231524,0.0,0.055600363755964596,0.0,0.1370867892709567,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R0_degraded_native,A0_clean,6,0.26082739591354975,0.09496097463669786,0.4829178554199872,0.05538175468789669,1.5046886175139411,0.5033465727770159,0.4067715023013638,0.3257204847438003,0.4327163954110592,0.4857511224153666,51173.95,0.13951773383513122,0.0,0.6742795152561998,0.4966534272229842,0.4067715023013638,0.3257204847438003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3257204847438003,0.5033465727770159,0.4327163954110592,0.4829178554199872,0.0,0.05538175468789669,0.0,0.13951773383513122,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R0_degraded_native,A1_drop_cam_front,0,0.20636939286313494,0.08324997108557182,0.5890229851407968,0.055291591267252284,1.3997836868041753,0.5541857307410828,0.0,0.5051817126012289,0.4261234181029992,0.5987252257517983,47451.45,0.11486047282579451,0.0,0.49481828739877126,0.4458142692589172,0.0,0.5051817126012289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051817126012289,0.5541857307410828,0.4261234181029992,0.0,0.0,0.055291591267252284,0.0,0.11486047282579451,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R0_degraded_native,A1_drop_cam_front,2,0.19489847957733902,0.07531901647079023,0.6068787722473303,0.057430731821302025,1.4117216416429215,0.5902875266757688,0.3060103431309219,0.6346977038085824,0.5339955928335599,0.6112131772182087,48230.95,0.10831279843416206,0.0,0.3653022961914175,0.4097124733242312,0.3060103431309219,0.6346977038085824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6346977038085824,0.5902875266757688,0.5339955928335599,0.0,0.0,0.057430731821302025,0.0,0.10831279843416206,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R0_degraded_native,A1_drop_cam_front,4,0.1828320886958626,0.06541295757396812,0.6301347940371278,0.05786103631289301,1.3959015901091307,0.6116773935843669,0.30074490441019736,0.6857069485374737,0.5540951602803276,0.6349477338043124,47694.4,0.10701545730528442,0.0,0.31429305146252634,0.38832260641563304,0.30074490441019736,0.6857069485374737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857069485374737,0.6116773935843669,0.5540951602803276,0.6301347940371278,0.0,0.05786103631289301,0.0,0.10701545730528442,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R0_degraded_native,A1_drop_cam_front,6,0.1771955415298176,0.05719343169253264,0.6398254830541876,0.05762846307302938,1.3879893522857414,0.6698731076204572,0.2951499495833162,0.7122521931092755,0.5902445738534797,0.6436129213214883,47150.55,0.1097174074068861,0.0,0.2877478068907246,0.33012689237954257,0.2951499495833162,0.7122521931092755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7122521931092755,0.6698731076204572,0.5902445738534797,0.6398254830541876,0.0,0.05762846307302938,0.0,0.1097174074068861,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,20,
epoch_56_original,R1_replace_tminus1,A1_drop_cam_front,0,0.26206223778954024,0.11214267701413302,0.4710419430304218,0.05701642185932555,1.5484278439867523,0.5078559043384419,0.0,0.29176904466533216,0.37658283853925995,0.47656215035317057,52514.2,0.12504371147600646,0.0,0.7082309553346677,0.4921440956615582,0.0,0.29176904466533216,0.05569284492640532,0.0288927059285612,0.0017248305920732703,0.10892077181287811,0.1486441571825766,0.010183238650211982,0.0017248305920732703,0.29176904466533216,0.5078559043384419,0.37658283853925995,0.0,0.0,0.05701642185932555,0.1486441571825766,0.12504371147600646,0.05569284492640532,1.0,1.0,0.04677760045636785,1.0,18049.386112976073,9.5,0.0,0.0,0.0,20,
epoch_56_original,R1_replace_tminus1,A1_drop_cam_front,2,0.2530259693873946,0.10032254181192753,0.4699665163506926,0.061852961358155475,1.6269131374220471,0.5278517421278942,0.402717057687526,0.3516099994254068,0.4099185995952451,0.4736196323859133,55577.75,0.13390149830288228,0.0,0.6483900005745932,0.4721482578721058,0.402717057687526,0.3516099994254068,0.05812748981005557,0.025003525341137332,0.004422229536853442,0.1539679232158075,0.21519149577912552,0.025588699868720262,0.004422229536853442,0.3516099994254068,0.5278517421278942,0.4099185995952451,0.0,0.0,0.061852961358155475,0.21519149577912552,0.13390149830288228,0.05812748981005557,1.0,1.0,0.04677760045636785,1.0,18049.386112976073,9.5,0.0,0.0,0.0,20,
