variant_label,perturbation_id,horizon_s,recovery_rate,false_positive_delta,density_drift,recovery_per_density_drift,recovery_per_false_positive,sample_consistency_ratio
R1_replace_tminus1,A1_drop_cam_front,0,0.21341266793589675,0.001724830592073269,0.14864415718257695,1.435728601654795,123.72963983632266,1.0
R1_replace_tminus1,A1_drop_cam_front,2,0.28308770438317554,0.00442222953685345,0.21519149577912566,1.3155152965419188,64.0147016395266,1.0
R1_replace_tminus1,A1_drop_cam_front,4,0.3278242594236726,0.0048839343303240385,0.23874730405761513,1.3731014082762634,67.12298676667959,1.0
R1_replace_tminus1,A1_drop_cam_front,6,0.36054814978991456,0.0053150301784608,0.25033506437455966,1.4402622768436883,67.83557904356567,1.0
R2_replace_tminus2,A1_drop_cam_front,0,0.18533750637916807,0.0015346956585893107,0.1401383544525696,1.3225323438623384,120.76499033660521,1.0
R2_replace_tminus2,A1_drop_cam_front,2,0.266821903731464,0.004575175514165801,0.21367913755909917,1.2487035785497154,58.3194902371115,1.0
R2_replace_tminus2,A1_drop_cam_front,4,0.32682432016859386,0.0052451211666938585,0.24292906669509073,1.3453487662668344,62.31015638759782,1.0
R2_replace_tminus2,A1_drop_cam_front,6,0.35822098263490587,0.005799689880850972,0.2515532204864319,1.4240365595089939,61.76554091584378,1.0
R3_ema_K2,A1_drop_cam_front,0,0.2110751772083146,0.0015028867334495669,0.14502856066392344,1.4554042061924741,140.44649707156242,1.0
R3_ema_K2,A1_drop_cam_front,2,0.2847666677901726,0.004106697399994912,0.20898439318326156,1.3626216936709548,69.34201380177791,1.0
R3_ema_K2,A1_drop_cam_front,4,0.3232500660895233,0.004886902401026849,0.23816398230927138,1.3572584021951821,66.1462086948168,1.0
R3_ema_K2,A1_drop_cam_front,6,0.3573551039018774,0.005178850516710659,0.245473961664336,1.4557760076831652,69.00278406352827,1.0
R4_ema_K3,A1_drop_cam_front,0,0.21037807376405077,0.0014094224073845155,0.1437947617277866,1.4630440722333888,149.26545275695756,1.0
R4_ema_K3,A1_drop_cam_front,2,0.2795306289702301,0.003998068257557108,0.20541854169226337,1.360785772634847,69.91642237269565,1.0
R4_ema_K3,A1_drop_cam_front,4,0.32885688618053527,0.004893210423204217,0.2393490821823745,1.373963431077456,67.20677382298025,1.0
R4_ema_K3,A1_drop_cam_front,6,0.3601376934522316,0.005170156828170708,0.24656082816521496,1.4606444021631502,69.65701533267699,1.0
R1_replace_tminus1,A10_drop_front_triplet,0,0.4017028917222448,0.0006548709127372904,0.21765542345196986,1.8455910050451318,613.4077478615895,1.0
R1_replace_tminus1,A10_drop_front_triplet,2,0.4672289020872361,0.0015847839764761978,0.23295092444458465,2.0056967071550837,294.8218236823229,1.0
R1_replace_tminus1,A10_drop_front_triplet,4,0.49105375706994175,0.001618042318989349,0.26158897677727033,1.8771959090923351,303.4863497122007,1.0
