occupied_iou,semantic_miou,false_free_rate,false_occupied_rate,pred_gt_occupied_ratio,small_object_false_free,new_visible_recall,front_sector_false_free,dynamic_false_free,static_false_free,active_voxel_count,wrong_class_activation,A10_front_h6_recovery_ratio,reliability_front_sector,reliability_small_object,reliability_new_visible,risk_error_correlation,clean_occupied_iou_delta,clean_semantic_miou_delta,clean_false_positive_delta,active_voxel_count_delta,pred_gt_density_delta,wrong_class_activation_delta,C4_false_positive_delta,front_sector_false_free_rate,small_object_false_free_rate,dynamic_object_false_free_rate,future_h4_h6_false_free_rate,A10_front_h6_recovery_rate,false_positive_rate,density_drift,wrong_class_rate,clean_A0_metric_drift,repaired_camera_count,memory_age_frame,feature_distance_current_memory,repair_triggered_ratio,feature_norm_drift,model_name,sample_index,perturbation_id,horizon_s,variant_label,repaired_camera_set,repair_mode,source_time_offsets,blend_alpha,uses_future_info,uses_current_clean_same_frame,uses_gt_repair
0.2493263069644889,0.1005552544943737,0.4524772331262123,0.05967850153301519,1.7435315777361344,0.13793103448275862,0.0,0.2981191222570533,0.36538461538461536,0.45739879175057285,53033,0.10310023999736989,0.0,0.7018808777429467,0.8620689655172413,0.0,0.2981191222570533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2981191222570533,0.13793103448275862,0.36538461538461536,0.0,0.0,0.05967850153301519,0.0,0.10310023999736989,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A0_clean,0,R0_degraded_native,[],native,[],,False,False,False
0.26982273795116396,0.10069627306682123,0.4054401706720211,0.06308067735962614,1.798079939762816,0.23837209302325582,0.5144415584415585,0.27879560299506134,0.33669833729216153,0.4091918221279698,57312,0.11940766769153542,0.0,0.7212043970049387,0.7616279069767442,0.5144415584415585,0.27879560299506134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27879560299506134,0.23837209302325582,0.33669833729216153,0.0,0.0,0.06308067735962614,0.0,0.11940766769153542,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A0_clean,2,R0_degraded_native,[],native,[],,False,False,False
0.2593218491059747,0.0883473189868952,0.4210958654050929,0.06671871474195849,1.8112811463689191,0.10674157303370786,0.4702405688691878,0.31022691949020825,0.37858032378580325,0.42322828347464403,59535,0.13952356323587575,0.0,0.6897730805097917,0.8932584269662921,0.4702405688691878,0.31022691949020825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31022691949020825,0.10674157303370786,0.37858032378580325,0.4210958654050929,0.0,0.06671871474195849,0.0,0.13952356323587575,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A0_clean,4,R0_degraded_native,[],native,[],,False,False,False
0.2148881363024177,0.06500418722958343,0.5196983867196633,0.06976248960025355,1.7154255319148937,0.26136363636363635,0.37984156681660763,0.4853628153223295,0.4596238938053097,0.5230113899435133,58695,0.12780570493336452,0.0,0.5146371846776705,0.7386363636363636,0.37984156681660763,0.4853628153223295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853628153223295,0.26136363636363635,0.4596238938053097,0.5196983867196633,0.0,0.06976248960025355,0.0,0.12780570493336452,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A0_clean,6,R0_degraded_native,[],native,[],,False,False,False
0.2253209638969469,0.08330359309949958,0.48417003649275075,0.06433414317656497,1.8051418614590524,0.5632183908045977,0.0,0.4278996865203762,0.47270471464019853,0.4848621623498368,54907,0.11592201729296117,0.0,0.5721003134796239,0.4367816091954023,0.0,0.4278996865203762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4278996865203762,0.5632183908045977,0.47270471464019853,0.0,0.0,0.06433414317656497,0.0,0.11592201729296117,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A1_drop_cam_front,0,R0_degraded_native,[],native,[],,False,False,False
0.1838078718393479,0.06200402929574833,0.5910773671330866,0.06419228909798298,1.633651251803978,0.23837209302325582,0.34384415584415584,0.577186554086347,0.6128266033254157,0.5899797872692932,52071,0.10839555750768652,0.0,0.422813445913653,0.7616279069767442,0.34384415584415584,0.577186554086347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577186554086347,0.23837209302325582,0.6128266033254157,0.0,0.0,0.06419228909798298,0.0,0.10839555750768652,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A1_drop_cam_front,2,R0_degraded_native,[],native,[],,False,False,False
0.1597594601709828,0.05211838953350102,0.6492135446773556,0.06473397009871017,1.5465027837780279,0.25842696629213485,0.27972480029551644,0.7109107864470003,0.523038605230386,0.6558310670292753,50832,0.10474915573945055,0.0,0.28908921355299966,0.7415730337078652,0.27972480029551644,0.7109107864470003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7109107864470003,0.25842696629213485,0.523038605230386,0.6492135446773556,0.0,0.06473397009871017,0.0,0.10474915573945055,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A1_drop_cam_front,4,R0_degraded_native,[],native,[],,False,False,False
0.13362771455236874,0.042792009985278504,0.7196340893149403,0.06202375764298826,1.3784779050736498,0.3409090909090909,0.2198957047888221,0.8565867331049517,0.6244469026548672,0.7249436676235453,47166,0.08382043488426467,0.0,0.1434132668950483,0.6590909090909092,0.2198957047888221,0.8565867331049517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8565867331049517,0.3409090909090909,0.6244469026548672,0.7196340893149403,0.0,0.06202375764298826,0.0,0.08382043488426467,0.0,0,0,0.0,0.0,0.0,epoch_56_original,0,A1_drop_cam_front,6,R0_degraded_native,[],native,[],,False,False,False
0.23885649802520217,0.09522319164353843,0.4572114278199691,0.06349258427482393,1.8152349015353257,0.42528735632183906,0.0,0.4278996865203762,0.4472704714640198,0.45774598986181514,55214,0.09031133905381859,0.0,0.5721003134796239,0.5747126436781609,0.0,0.4278996865203762,0.013535534128255283,0.011919598544038845,-0.0008415589017410352,0.005591272515344127,0.010093040076273319,-0.02561067823914258,-0.0008415589017410352,0.4278996865203762,0.42528735632183906,0.4472704714640198,0.0,0.0,0.06349258427482393,0.010093040076273319,0.09031133905381859,0.013535534128255283,1,1,0.04657182740894231,1.0,17195.072303771973,epoch_56_original,0,A1_drop_cam_front,0,R1_replace_tminus1,['CAM_FRONT'],replace,[1],,False,False,False
0.25399827552638166,0.10037690860440464,0.4269937880404091,0.06582846318032776,1.8289514965175377,0.4186046511627907,0.4858181818181818,0.30332961605862674,0.46971496437054633,0.4245336160906591,58296,0.11065445190437347,0.0,0.6966703839413733,0.5813953488372092,0.4858181818181818,0.30332961605862674,0.07019040368703375,0.03837287930865631,0.001636174082344774,0.11954830903958057,0.19530024471355967,0.0022588943966869446,0.001636174082344774,0.30332961605862674,0.4186046511627907,0.46971496437054633,0.0,0.0,0.06582846318032776,0.19530024471355967,0.11065445190437347,0.07019040368703375,1,1,0.04657182740894231,1.0,17195.072303771973,epoch_56_original,0,A1_drop_cam_front,2,R1_replace_tminus1,['CAM_FRONT'],replace,[1],,False,False,False
